,hbPhotoExist,originBookCode,author,isbn,publishDate,discountPrice,bookDiscount,bookName,executiveEditor,bookId,picPath,price,stockInDate,sumVolume,shopType
0,N,153619,[日]稻盛和夫,978-7-115-53619-8,202108,47.20,0.8,心 稻盛和夫的一生嘱托,张渝涓,5e6fe0f3-6ee7-40c2-8c25-9cdf9b0c87e6,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-53619-8/72jpg/53619.jpg,59,20200514,1007728,1
1,Y,148382,[加]朱迪思·汉弗莱（Judith Humphrey）,978-7-115-48382-9,202109,39.20,0.8,即兴演讲 掌控人生关键时刻,朱玉芬,ebb3164d-06af-41f5-85bd-60f95a5e09cb,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48382-9/72jpg/48382_s300.jpg,49,20180517,551958,1
2,N,141359,【美】本杰明·格雷厄姆,978-7-115-41359-8,202109,54.40,0.8,"聪明的投资者（原本第4版,平装本）",徐向娟,25c373dc-e599-4036-8534-a102aad0a776,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41359-8/72jpg/41359_s300.jpg,68,20160325,467300,1
3,Y,124669,[瑞典]Staffan N?teberg 著,978-7-115-24669-1,202008,23.20,0.8,番茄工作法图解：简单易行的时间管理方法,"罗婧,郝富强",c44b8d45-6a91-4800-b91c-c3392379b208,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-24669-1/72jpg/24669_s300.jpg,29,20110407,330141,1
4,Y,129236,[美]杰西·利弗莫尔(Jesse Livermore) 著,978-7-115-29236-0,202012,28.00,0.8,股票大作手操盘术——融合时间和价格的利弗莫尔准则,王飞龙,f642f34c-9f46-4a6f-ad15-c9b9b2875004,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-29236-0/72jpg/29236_s300.jpg,35,20120919,262818,1
5,N,141358,"[美]本杰明·格雷厄姆,贾森·兹威格",978-7-115-41358-1,202102,70.40,0.8,聪明的投资者（第4版，注疏点评版）,王涧秋,67e260c3-b0cb-41bb-b698-6f9dbd54a610,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41358-1/72jpg/41358_s300.jpg,88,20160325,230379,1
6,Y,137407,[英]弗格斯·奥康奈尔(Fergus O'Connell） 著,978-7-115-37407-3,202102,28.00,0.8,极简主义 风靡欧美的工作与生活理念,姜珊,4d1c7610-10d7-4d4b-a2f2-dd702983ff8d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37407-3/72jpg/37407_s300.jpg,35,20141118,218904,1
7,Y,138808,马涛,978-7-115-38808-7,202109,31.84,0.8,从零开始学炒股：股票入门与实战（全彩图解版）,恭竟平,ca2de4df-b928-47a8-b8ce-5a725106df07,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-38808-7/72jpg/38808_s300.jpg,39.8,20150505,174153,1
8,Y,148908,[日]日野原重明,978-7-115-48908-1,202109,36.00,0.8,活好 我这样活到105岁,朱玉芬,3eee0747-bfd0-49b1-86b4-18d838480264,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48908-1/72jpg/48908_s300.jpg,45,20181010,165596,1
9,N,154342,周岭,978-7-115-54342-4,202109,47.84,0.8,认知觉醒：开启自我改变的原动力,陈素然,7a745ee7-4a02-412f-942a-bf0131743346,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-54342-4/72jpg/54342_s300.jpg,59.8,20200826,165471,1
10,N,148401,白东蕊  岳云康,978-7-115-48401-7,202105,39.84,0.8,电子商务概论（第4版）,万国清,0bbbf65b-c861-4b13-b61a-99ec01bb3809,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48401-7/72jpg/48401_s300.jpg,49.8,20190729,160924,1
11,N,151023,樊登,978-7-115-51023-5,202107,54.40,0.8,低风险创业,袁璐,c7309aeb-a7bc-45e4-9818-47bc4b5579f4,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51023-5/72jpg/51023_s300.jpg,68,20190412,160820,1
12,Y,148388,政府会计制度编审委员会,978-7-115-48388-1,202009,79.20,0.8,政府会计制度详解与实务 条文解读 实务应用 案例讲解,李士振,6498a974-0db5-4379-bb77-eaf098e57a28,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48388-1/72jpg/48388_s300.jpg,99,20180515,129160,1
13,Y,147029,吴军,978-7-115-47029-4,202106,79.20,0.8,大学之路 陪女儿在美国选大学 第二版,俞彬,4454c799-f074-4517-8618-d14e93a0d941,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-47029-4/72jpg/47029_s300.jpg,99,20171123,119722,1
14,Y,141092,吴军,978-7-115-41092-4,202105,47.20,0.8,硅谷之谜,俞彬,dd8ecfc3-07bd-44f5-9eea-f6dd3130bbed,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41092-4/72jpg/41092_s300.jpg,59,20151123,109643,1
15,Y,125369,[美]本杰明·格雷厄姆 著,978-7-115-25369-9,201601,46.40,0.8,聪明的投资者(原本第4版),颜林柯,df51085f-1fbd-4d41-9e55-d8ee1b968279,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-25369-9/72jpg/25369_s300.jpg,58,20110909,109570,1
16,N,155228,Sophie,978-7-115-55228-0,202109,47.20,0.8,PPT演讲力 重要时刻 不要输在表达上,王飞龙,53f41fd3-e747-49b9-93d9-5fe92922dec3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-55228-0/72jpg/55228_s300.jpg,59,20210107,95848,1
17,Y,151087,[日]久贺谷亮,978-7-115-51087-7,202109,39.84,0.8,高效休息法 世界精英这样放松大脑,朱伊哲,ffc0c6e6-4921-4e90-babc-8f30864e66bc,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51087-7/72jpg/51087_s300.jpg,49.8,20190507,95188,1
